scopus_id,affiliation_name,affiliation_city,affiliation_country
SCOPUS_ID:85011371212,Peking University,Beijing,China
SCOPUS_ID:85011371212,Peking University,Beijing,China
SCOPUS_ID:84886745171,Anhui Normal University,Wuhu,China
SCOPUS_ID:84872813939,Peking University,Beijing,China
SCOPUS_ID:85012067095,Peking University,Beijing,China
SCOPUS_ID:81755169817,Peking University,Beijing,China
SCOPUS_ID:84918805859,Peking University,Beijing,China
SCOPUS_ID:84918805859,Beijing Key Laboratory of Molecular Diagnosis on Dermatoses,Beijing,
SCOPUS_ID:84922538739,Peking University,Beijing,China
SCOPUS_ID:84922538739,Beijing Key Laboratory of Molecular Diagnosis on Dermatoses,Beijing,
SCOPUS_ID:84922538739,Peking-Tsinghua Center for Life Sciences,Beijing,
SCOPUS_ID:84979519918,Peking University,Beijing,China
SCOPUS_ID:84908156229,Institute of Physics Chinese Academy of Sciences,Beijing,China
SCOPUS_ID:85026896352,Peking University,Beijing,China
SCOPUS_ID:84961267189,Peking University,Beijing,China
SCOPUS_ID:77952369509,Peking University,Beijing,China
SCOPUS_ID:0347135727,Peking University,Beijing,China
SCOPUS_ID:85017013086,Peking University,Beijing,China
SCOPUS_ID:85017013086,Peking University,Beijing,China
SCOPUS_ID:84900867506,Peking University,Beijing,China
SCOPUS_ID:50849129606,Peking University,Beijing,China
SCOPUS_ID:50849129606,Peking University,Beijing,China
SCOPUS_ID:84996671318,Peking University,Beijing,China
SCOPUS_ID:84938208247,Peking University,Beijing,China
SCOPUS_ID:84983616701,Peking University,Beijing,China
SCOPUS_ID:84923482529,Peking University,Beijing,China
SCOPUS_ID:84878367537,Peking University,Beijing,China
SCOPUS_ID:84880249832,Peking University,Beijing,China
SCOPUS_ID:0024878511,Peking University,Beijing,China
SCOPUS_ID:0023982944,Peking University,Beijing,China
SCOPUS_ID:71949122856,Peking University,Beijing,China
SCOPUS_ID:71949114347,Peking University,Beijing,China
SCOPUS_ID:85000765405,Peking University,Beijing,China
SCOPUS_ID:84940558649,Peking University,Beijing,China
SCOPUS_ID:84982763182,Peking University,Beijing,China
SCOPUS_ID:84977108924,Peking University,Beijing,China
SCOPUS_ID:9144268403,Peking University,Beijing,China
SCOPUS_ID:0042160076,Peking University,Beijing,China
SCOPUS_ID:84855822879,Peking University,Beijing,China
SCOPUS_ID:79952209187,Peking University,Beijing,China
SCOPUS_ID:84978906484,Peking University,Beijing,China
SCOPUS_ID:84872330412,Peking University,Beijing,China
SCOPUS_ID:84864753328,Peking University,Beijing,China
SCOPUS_ID:4544286225,Peking University,Beijing,China
SCOPUS_ID:0034335117,Peking University,Beijing,China
SCOPUS_ID:84996917644,Peking University,Beijing,China
SCOPUS_ID:84996917644,Beijing Key Laboratory of Molecular Diagnosis on Dermatoses,Beijing,China
SCOPUS_ID:84980334602,Peking University,Beijing,China
SCOPUS_ID:84980334602,Beijing Key Laboratory of Molecular Diagnosis on Dermatoses,Beijing,China
SCOPUS_ID:84987729768,Peking University,Beijing,China
SCOPUS_ID:84936768772,Peking University,Beijing,China
SCOPUS_ID:85021283417,Huazhong University of Science and Technology,Wuhan,China
SCOPUS_ID:84952674087,Peking University,Beijing,China
SCOPUS_ID:85013480781,Peking University,Beijing,China
SCOPUS_ID:85030104222,Peking University,Beijing,China
SCOPUS_ID:84977663346,Peking University,Beijing,China
SCOPUS_ID:84974575251,Peking University,Beijing,China
SCOPUS_ID:0037351128,Peking University,Beijing,China
SCOPUS_ID:84921381269,Peking University,Beijing,China
SCOPUS_ID:84921381269,Key Laboratory of Computational Linguistics (Ministry of Education,,China
SCOPUS_ID:84893035237,Peking University,Beijing,China
SCOPUS_ID:0030403787,Peking University,Beijing,China
SCOPUS_ID:0025722985,Peking University,Beijing,China
SCOPUS_ID:84991657842,Peking University,Beijing,China
SCOPUS_ID:78649894819,Peking University,Beijing,China
SCOPUS_ID:84862641649,Peking University,Beijing,China
SCOPUS_ID:84862641649,Northwest Institute of Nuclear Technology,Xi'an,China
SCOPUS_ID:80051614109,Peking University,Beijing,China
SCOPUS_ID:33749411241,Peking University,Beijing,China
SCOPUS_ID:0036538684,Peking University,Beijing,China
SCOPUS_ID:84960158419,Xiamen University,Xiamen,China
SCOPUS_ID:84941636327,Xiamen University,Xiamen,China
SCOPUS_ID:84974697694,Peking University,Beijing,China
SCOPUS_ID:84938945616,Peking University,Beijing,China
SCOPUS_ID:85018472607,Hebei Medical University,Shijiazhuang,China
SCOPUS_ID:84966569786,Peking University,Beijing,China
SCOPUS_ID:84966569786,Peking University,Beijing,China
SCOPUS_ID:84966569786,Peking University Health Science Center,Beijing,China
SCOPUS_ID:85018329070,Peking University,Beijing,China
SCOPUS_ID:85019119096,Hebei Medical University,Shijiazhuang,China
SCOPUS_ID:85019119096,Hebei Medical University,Shijiazhuang,China
SCOPUS_ID:85019119096,Peking University,Beijing,China
SCOPUS_ID:84925965525,Peking University,Beijing,China
SCOPUS_ID:84923034817,Peking University,Beijing,China
SCOPUS_ID:84900415831,Peking University Health Science Center,Beijing,China
SCOPUS_ID:84904472382,Peking Union Medical Collage Hospital,Beijing,China
SCOPUS_ID:84904472382,Peking University,Beijing,China
SCOPUS_ID:84919785089,Peking University,Beijing,China
SCOPUS_ID:84874514699,Peking University,Beijing,China
SCOPUS_ID:0042160076,Peking University,Beijing,China
SCOPUS_ID:0037459177,Peking University,Beijing,China
SCOPUS_ID:0036725992,Peking University,Beijing,China
SCOPUS_ID:0038530897,Peking University,Beijing,China
SCOPUS_ID:85010952130,Peking University,Beijing,China
SCOPUS_ID:85020636960,Peking University,Beijing,China
SCOPUS_ID:85020636960,Collaborative Innovation Center of Quantum Matter,Beijing,China
SCOPUS_ID:0032777970,Peking University,Beijing,China
SCOPUS_ID:0032018718,Arizona State University,Tempe,United States
SCOPUS_ID:0032018718,Peking University,Beijing,China
SCOPUS_ID:84871446519,Beijing Jiaotong Daxue,Beijing,China
SCOPUS_ID:84862683214,Peking University,Beijing,China
SCOPUS_ID:80053163324,Peking University,Beijing,China
SCOPUS_ID:79952623978,Peking University,Beijing,China
SCOPUS_ID:0032531188,Peking University,Beijing,China
SCOPUS_ID:0000893551,Peking University,Beijing,China
SCOPUS_ID:84973541131,Peking University,Beijing,China
SCOPUS_ID:84884290988,Peking University,Beijing,China
